symbol,name,isin
COALINDIA,Coal India,INE522F01014
POWERGRID,Power Grid,INE752E01010
EICHERMOT,Eicher Motors,INE066A01021
SBILIFE,SBI Life Insurance,INE123W01016
TECHM,Tech Mahindra,INE669C01036
BAJFINANCE,Bajaj Finance,INE296A01024
SHRIRAMFIN,Shriram Finance Limited,INE721A01013
NTPC,NTPC,INE733E01010
BPCL,Bharat Petroleum,INE029A01011
ULTRACEMCO,Ultratech Cement,INE481G01011
LTIM,LTIMindtree Ltd,INE214T01019
APOLLOHOSP,Apollo Hospitals,INE437A01024
BAJAJ-AUTO,Bajaj Auto,INE917I01010
LT,LT - Larsen & Tubro,INE018A01030
ONGC,ONGC,INE213A01029
BAJAJFINSV,Bajaj Finserv,INE918I01026
JSWSTEEL,JSW Steel,INE019A01038
TATASTEEL,Tata Steel,INE081A01020
BHARTIARTL,Bharti Airtel,INE397D01024
HCLTECH,HCL Technologies,INE860A01027
CIPLA,Cipla,INE059A01026
SBIN,State Bank Of India,INE062A01020
RELIANCE,Reliance Industries,INE002A01018
SUNPHARMA,Sun Pharmaceutical,INE044A01036
HDFCBANK,HDFC Bank,INE040A01034
TATAMOTORS,Tata Motors,INE155A01022
WIPRO,Wipro,INE075A01022
DRREDDY,Dr. Reddys Laboratories,INE089A01023
HINDALCO,Hindalco Industries,INE038A01020
INDUSINDBK,Indusind Bank,INE095A01012
ASIANPAINT,Asian Paints,INE021A01026
HDFCLIFE,HDFC Life,INE795G01014
HEROMOTOCO,Hero Motocorp,INE158A01026
ITC,ITC,INE154A01025
ICICIBANK,ICICI Bank,INE090A01021
MARUTI,Maruti Suzuki India,INE585B01010
KOTAKBANK,Kotak Bank,INE237A01028
NESTLEIND,Nestle India,INE239A01016
ADANIENT,Adani Enterprises,INE423A01024
TCS,Tata Consultancy Services,INE467B01029
GRASIM,Grasim Industries,INE047A01021
ADANIPORTS,Adani Ports,INE742F01042
INFY,Infosys,INE009A01021
DIVISLAB,Divis Laboratories,INE361B01024
AXISBANK,Axis Bank,INE238A01034
TITAN,Titan,INE280A01028
TATACONSUM,Tata Consumer Products,INE192A01025
HINDUNILVR,Hindustan Unilever,INE030A01027
BRITANNIA,Britannia Industries,INE216A01030
M&M,Mahindra & Mahindra,INE101A01026
